mission_name,upcoming,launch_date,rocket_name,payload,launch_site_name,launch_site_name_long,launch_success,launch_state
AsiaSat 6,FALSE,"September 7, 2014",Falcon 9,AsiaSat 6,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-4,FALSE,"September 21, 2014",Falcon 9,CRS-4,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-5,FALSE,"January 10, 2015",Falcon 9,CRS-5,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
DSCOVR,FALSE,"February 11, 2015",Falcon 9,DSCOVR,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
ABS-3A / Eutelsat 115W B,FALSE,"March 2, 2015",Falcon 9,ABS-3A,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-6,FALSE,"April 14, 2015",Falcon 9,CRS-6,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
TürkmenÄlem 52°E / MonacoSAT,FALSE,"April 27, 2015",Falcon 9,TürkmenÄlem 52°E / MonacoSAT,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-7,FALSE,"June 28, 2015",Falcon 9,CRS-7,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,FALSE,Florida
OG-2 Mission 2,FALSE,"December 22, 2015",Falcon 9,Orbcomm-OG2-M2,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
Jason 3,FALSE,"January 17, 2016",Falcon 9,Jason-3,VAFB SLC 4E,Vandenberg Air Force Base Space Launch Complex 4E,TRUE,California
SES-9,FALSE,"March 4, 2016",Falcon 9,SES-9,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
CRS-8,FALSE,"April 8, 2016",Falcon 9,CRS-8,CCAFS SLC 40,Cape Canaveral Air Force Station Space Launch Complex 40,TRUE,Florida
